lncRNA_ID,gene_id,symbol,chr,start,end,strand
lNONMMUG026146,NONMMUG026146,4632415L05Rik,chr3,19894870,19898984,+
lNONMMUG007101,NONMMUG007101,4632419I22Rik,chr11,86201382,86304443,+
lNONMMUG003737,NONMMUG003737,4632428N05Rik,chr10,60346906,60372307,+
lNONMMUG037464,NONMMUG037464,4732471J01Rik,chr7,25376818,25566417,+
lNONMMUG007388,NONMMUG007388,4833417C18Rik,chr11,95858816,95876381,+
lNONMMUG025273,NONMMUG025273,4930405A21Rik,chr2,156696084,156720910,-
lNONMMUG028489,NONMMUG028489,4930412C18Rik,chr4,9769684,9823411,+
lNONMMUG023536,NONMMUG023536,4930440I19Rik,chr2,78046703,78210005,+
lNONMMUG009251,NONMMUG009251,4930447C04Rik,chr12,72881108,72940833,-
lNONMMUG031210,NONMMUG031210,4930455G09Rik,chr4,142017898,142030478,+
lNONMMUG005734,NONMMUG005734,4930469K13Rik,chr11,33973960,34102031,-
lNONMMUG020648,NONMMUG020648,4930481A15Rik,chr19,5406739,5422847,+
lNONMMUG017419,NONMMUG017419,4930506C21Rik,chr17,8283761,8311118,-
lNONMMUG040702,NONMMUG040702,4930512H18Rik,chr8,61849005,61922835,+
lNONMMUG041375,NONMMUG041375,4930513N10Rik,chr8,95806743,95821728,+
lNONMMUG013775,NONMMUG013775,4930524C18Rik,chr14,114831964,114861327,+
lNONMMUG044433,NONMMUG044433,4930524L23Rik,chrX,7573599,7581017,+
lNONMMUG011321,NONMMUG011321,4930525G20Rik,chr13,67796593,67831264,-
lNONMMUG020228,NONMMUG020228,4930546C10Rik,chr18,68889486,68951528,-
lNONMMUG005334,NONMMUG005334,4930554G24Rik,chr11,14072102,14179080,-
lNONMMUG023040,NONMMUG023040,4930555B11Rik,chr2,57181830,57190740,+
lNONMMUG010472,NONMMUG010472,4930557F10Rik,chr13,23276168,23313401,-
lNONMMUG006658,NONMMUG006658,4930563E22Rik,chr11,72215137,72218450,+
lNONMMUG026956,NONMMUG026956,4930564K09Rik,chr3,82876287,82950490,+
lNONMMUG032113,NONMMUG032113,4930566F21Rik,chr5,31486628,31495180,-
lNONMMUG010475,NONMMUG010475,4930586N03Rik,chr13,23313499,23385799,+
lNONMMUG026697,NONMMUG026697,4930593A02Rik,chr3,58689384,58870226,+
lNONMMUG013901,NONMMUG013901,4930594M22Rik,chr14,122913029,122937470,+
lNONMMUG013165,NONMMUG013165,4931440J10Rik,chr14,62760500,62830127,+
lNONMMUG026767,NONMMUG026767,4931440P22Rik,chr3,65507256,65529414,-
lNONMMUG016527,NONMMUG016527,4932412D23Rik,chr16,42687852,42875942,-
lNONMMUG039764,NONMMUG039764,4932443L11Rik,chr8,4162521,4206882,-
lNONMMUG034063,NONMMUG034063,4933404O12Rik,chr5,136915928,136937113,+
lNONMMUG039105,NONMMUG039105,4933406I18Rik,chr7,114310172,114415197,-
lNONMMUG045195,NONMMUG045195,4933407K13Rik,chrX,75706931,75764699,-
lNONMMUG028799,NONMMUG028799,4933421O10Rik,chr4,32593333,33031324,-
lNONMMUG005564,NONMMUG005564,4933430M04Rik,chr11,24426245,24722646,+
lNONMMUG040983,NONMMUG040983,4933431K23Rik,chr8,77610859,77769682,+
lNONMMUG001935,NONMMUG001935,4933436E23Rik,chr1,139379451,139402852,+
lNONMMUG006254,NONMMUG006254,4933439C10Rik,chr11,59505224,59513648,+
lNONMMUG035314,NONMMUG035314,5430402O13Rik,chr6,50564291,50625559,+
lNONMMUG025278,NONMMUG025278,5430405H02Rik,chr2,156843127,156862963,-
lNONMMUG024287,NONMMUG024287,5430417L22Rik,chr2,118746947,118748808,+
lNONMMUG044538,NONMMUG044538,5730405O15Rik,chrX,13042014,13045752,+
lNONMMUG003467,NONMMUG003467,5730435O14Rik,chr10,41568015,41576477,+
lNONMMUG035361,NONMMUG035361,5730457N03Rik,chr6,52308388,52314833,-
lNONMMUG032544,NONMMUG032544,5830416I19Rik,chr5,64044972,64050226,+
lNONMMUG021777,NONMMUG021777,5830428H23Rik,chr19,61114981,61140840,-
lNONMMUG031579,NONMMUG031579,5830444B04Rik,chr4,155398762,155421705,-
lNONMMUG001006,NONMMUG001006,6030407O03Rik,chr1,73617904,73905230,-
lNONMMUG031911,NONMMUG031911,6030443J06Rik,chr5,22550412,22807850,+
lNONMMUG034113,NONMMUG034113,6330418K02Rik,chr5,138264042,138266662,+
lNONMMUG027267,NONMMUG027267,6330562C20Rik,chr3,95307075,95315127,-
lNONMMUG044868,NONMMUG044868,6720401G13Rik,chrX,50555052,50635426,-
lNONMMUG040034,NONMMUG040034,6820431F20Rik,chr8,20294035,20297546,-
lNONMMUG030186,NONMMUG030186,8030443G20Rik,chr4,108942842,108972078,-
lNONMMUG005112,NONMMUG005112,8430429K09Rik,chr11,3452214,3479832,+
lNONMMUG006477,NONMMUG006477,9130017K11Rik,chr11,67921503,67947660,+
lNONMMUG035402,NONMMUG035402,9130019P16Rik,chr6,54269680,54430222,-
lNONMMUG000668,NONMMUG000668,9130024F11Rik,chr1,56971411,57050084,+
lNONMMUG030273,NONMMUG030273,9130206I24Rik,chr4,114909256,114921968,+
lNONMMUG030272,NONMMUG030272,9130410C08Rik,chr4,114817160,114902859,-
lNONMMUG032462,NONMMUG032462,9230114K14Rik,chr5,52190665,52279034,+
lNONMMUG035013,NONMMUG035013,9330158H04Rik,chr6,36209619,36390191,-
lNONMMUG043542,NONMMUG043542,9330159M07Rik,chr9,88644967,88858870,-
lNONMMUG000575,NONMMUG000575,9330175M20Rik,chr1,51218385,51333932,-
lNONMMUG025318,NONMMUG025318,9430008C03Rik,chr2,158353667,158368133,-
lNONMMUG037104,NONMMUG037104,9430041J12Rik,chr7,4074124,4120729,-
lNONMMUG041610,NONMMUG041610,9430091E24Rik,chr8,111127443,111145574,-
lNONMMUG032038,NONMMUG032038,9530036O11Rik,chr5,28458273,28933996,+
lNONMMUG046153,NONMMUG046153,9530051G07Rik,chrX,153037628,153072916,+
lNONMMUG024804,NONMMUG024804,9630028H03Rik,chr2,135325446,135615143,-
lNONMMUG005829,NONMMUG005829,A230004M16Rik,chr11,41710341,41973118,+
lNONMMUG022316,NONMMUG022316,A230005M16Rik,chr2,25705664,25709717,-
lNONMMUG038110,NONMMUG038110,A230056P14Rik,chr7,55962530,55980868,+
lNONMMUG038184,NONMMUG038184,A230057D06Rik,chr7,61704518,62091267,-
lNONMMUG021882,NONMMUG021882,A230108P19Rik,chr2,6193250,6321611,+
lNONMMUG041396,NONMMUG041396,A330008L17Rik,chr8,99416641,99733438,+
lNONMMUG021277,NONMMUG021277,A330032B11Rik,chr19,37173842,37196542,+
lNONMMUG013880,NONMMUG013880,A330035P11Rik,chr14,122097938,122106975,-
lNONMMUG020860,NONMMUG020860,A330040F15Rik,chr19,12517914,12598245,-
lNONMMUG019844,NONMMUG019844,A330093E20Rik,chr18,45676958,46045260,-
lNONMMUG012368,NONMMUG012368,A430057M04Rik,chr14,21847577,21856927,+
lNONMMUG007185,NONMMUG007185,A430104N18Rik,chr11,87755562,87757709,+
lNONMMUG025574,NONMMUG025574,A530013C23Rik,chr2,167690758,167729173,+
lNONMMUG030683,NONMMUG030683,A630031M04Rik,chr4,127545100,127570704,+
lNONMMUG005600,NONMMUG005600,A630052C17Rik,chr11,29148564,29173559,-
lNONMMUG024695,NONMMUG024695,A730017L22Rik,chr2,130872540,130906397,-
lNONMMUG010775,NONMMUG010775,A730081D07Rik,chr13,40956413,41001152,-
lNONMMUG007358,NONMMUG007358,A730090H04Rik,chr11,95145051,95159047,+
lNONMMUG026758,NONMMUG026758,A730090N16Rik,chr3,65133058,65356186,-
lNONMMUG028396,NONMMUG028396,A830012C17Rik,chr4,4138320,4188704,+
lNONMMUG011468,NONMMUG011468,A830082K12Rik,chr13,78198016,78279843,+
lNONMMUG020609,NONMMUG020609,A930001C03Rik,chr19,4438521,4448437,+
lNONMMUG021136,NONMMUG021136,A930007I19Rik,chr19,29464749,29523160,-
lNONMMUG019828,NONMMUG019828,A930012L18Rik,chr18,44661432,44676272,+
lNONMMUG018236,NONMMUG018236,A930015D03Rik,chr17,35994452,36038435,+
lNONMMUG033743,NONMMUG033743,A930024E05Rik,chr5,122988915,122998346,+
lNONMMUG007015,NONMMUG007015,AA465934,chr11,83291687,83294929,+
lNONMMUG022285,NONMMUG022285,AA543186,chr2,25327449,25332572,-
lNONMMUG016610,NONMMUG016610,Abhd10,chr16,45739729,45742778,-
lNONMMUG007384,NONMMUG007384,Abi3,chr11,95837883,95842160,-
lNONMMUG022559,NONMMUG022559,Abl1,chr2,31689610,31779024,+
lNONMMUG021692,NONMMUG021692,Ablim1,chr19,57113743,57118935,-
lNONMMUG019718,NONMMUG019718,AC020971.1,chr18,37746558,37768242,-
lNONMMUG020761,NONMMUG020761,AC025794.1,chr19,8723406,8726445,+
lNONMMUG015786,NONMMUG015786,AC087541.1,chr16,11176162,11192293,+
lNONMMUG017483,NONMMUG017483,AC087901.1,chr17,12318852,12336225,+
lNONMMUG027309,NONMMUG027309,AC092094.1,chr3,96167463,96172416,-
lNONMMUG021582,NONMMUG021582,AC100726.1,chr19,50677405,50778663,+
lNONMMUG014468,NONMMUG014468,AC100730.1,chr15,44749204,44872237,+
lNONMMUG038583,NONMMUG038583,AC101659.1,chr7,84151702,84267006,+
lNONMMUG041003,NONMMUG041003,AC101790.1,chr8,79295054,79308961,+
lNONMMUG026548,NONMMUG026548,AC102860.1,chr3,51559756,51595797,+
lNONMMUG038723,NONMMUG038723,AC102906.1,chr7,92982068,93104790,+
lNONMMUG000058,NONMMUG000058,AC103380.1,chr1,7314636,7397878,-
lNONMMUG013142,NONMMUG013142,AC107641.2,chr14,61602835,61682768,-
lNONMMUG001749,NONMMUG001749,AC107837.1,chr1,132036804,132067946,+
lNONMMUG015350,NONMMUG015350,AC109202.1,chr15,96087337,96284495,-
lNONMMUG008485,NONMMUG008485,AC110382.1,chr12,8764900,8771182,-
lNONMMUG038433,NONMMUG038433,AC110520.1,chr7,79018052,79053324,-
lNONMMUG038810,NONMMUG038810,AC111120.1,chr7,99260480,99267219,-
lNONMMUG021656,NONMMUG021656,AC112962.1,chr19,55640588,55702205,-
lNONMMUG039859,NONMMUG039859,AC113484.1,chr8,11007849,11066224,+
lNONMMUG001993,NONMMUG001993,AC114655.1,chr1,150074872,150099963,-
lNONMMUG021204,NONMMUG021204,AC115752.1,chr19,32387589,32395225,+
lNONMMUG043368,NONMMUG043368,AC115880.1,chr9,75410150,75420118,+
lNONMMUG016103,NONMMUG016103,AC116484.1,chr16,24391611,24393655,-
lNONMMUG011269,NONMMUG011269,AC116589.1,chr13,65309740,65591561,-
lNONMMUG034742,NONMMUG034742,AC117213.1,chr6,21985907,22067688,-
lNONMMUG002358,NONMMUG002358,AC119212.1,chr1,166974022,167002055,-
lNONMMUG039485,NONMMUG039485,AC119806.1,chr7,132874738,132931375,-
lNONMMUG032510,NONMMUG032510,AC119899.1,chr5,57570081,57720201,-
lNONMMUG000977,NONMMUG000977,AC120136.1,chr1,72236464,72274870,+
lNONMMUG012331,NONMMUG012331,AC121599.1,chr14,20687235,20703012,-
lNONMMUG019647,NONMMUG019647,AC121821.1,chr18,35553370,35558317,+
lNONMMUG001821,NONMMUG001821,AC122771.1,chr1,134642253,134646521,-
lNONMMUG010264,NONMMUG010264,AC122824.1,chr13,10357594,10797502,+
lNONMMUG010771,NONMMUG010771,AC123834.1,chr13,40727807,40735162,+
lNONMMUG011097,NONMMUG011097,AC124395.1,chr13,56222223,56243941,-
lNONMMUG036630,NONMMUG036630,AC124756.1,chr6,126718683,126741601,+
lNONMMUG026020,NONMMUG026020,AC125373.1,chr3,7576253,7690002,+
lNONMMUG019580,NONMMUG019580,AC126026.1,chr18,32359056,32378285,-
lNONMMUG018816,NONMMUG018816,AC126942.1,chr17,70878077,71393285,+
lNONMMUG038206,NONMMUG038206,AC127280.1,chr7,63344689,63444530,-
lNONMMUG014433,NONMMUG014433,AC129212.1,chr15,41758059,41788912,-
lNONMMUG014067,NONMMUG014067,AC130697.1,chr15,10714835,10790124,+
lNONMMUG021695,NONMMUG021695,AC131756.1,chr19,57322451,57360824,-
lNONMMUG009784,NONMMUG009784,AC131759.1,chr12,101082450,101088928,+
lNONMMUG002730,NONMMUG002730,AC131980.1,chr1,185447115,185455568,-
lNONMMUG032625,NONMMUG032625,AC132284.1,chr5,66151211,66180926,+
lNONMMUG021014,NONMMUG021014,AC132389.1,chr19,22995838,23075924,-
lNONMMUG043786,NONMMUG043786,AC132684.1,chr9,102345902,102354694,+
lNONMMUG009745,NONMMUG009745,AC133083.1,chr12,99563840,99620039,+
lNONMMUG009515,NONMMUG009515,AC133183.2,chr12,84029428,84054254,-
lNONMMUG041551,NONMMUG041551,AC133510.1,chr8,109075210,109273811,+
lNONMMUG015353,NONMMUG015353,AC133578.2,chr15,96231869,96254685,-
lNONMMUG019742,NONMMUG019742,AC133646.1,chr18,38238404,38250566,-
lNONMMUG041488,NONMMUG041488,AC134615.1,chr8,106237902,106425728,-
lNONMMUG010169,NONMMUG010169,AC134826.1,chr13,3478223,3501636,+
lNONMMUG019587,NONMMUG019587,AC135961.1,chr18,32663641,32837288,-
lNONMMUG028179,NONMMUG028179,AC136729.1,chr3,145650311,145677808,+
lNONMMUG014245,NONMMUG014245,AC137123.1,chr15,32240564,32244663,-
lNONMMUG015228,NONMMUG015228,AC137513.1,chr15,89474787,89485729,+
lNONMMUG001143,NONMMUG001143,AC138214.1,chr1,82691927,82725169,-
lNONMMUG002342,NONMMUG002342,AC138358.1,chr1,166002957,166038259,+
lNONMMUG037549,NONMMUG037549,AC139063.1,chr7,27927272,27960590,+
lNONMMUG042936,NONMMUG042936,AC139320.1,chr9,58455109,58473790,+
lNONMMUG015490,NONMMUG015490,AC139571.1,chr15,100433586,100469221,-
lNONMMUG027260,NONMMUG027260,AC140190.1,chr3,95217456,95226659,+
lNONMMUG010906,NONMMUG010906,AC140293.1,chr13,48044230,48313136,-
lNONMMUG040073,NONMMUG040073,AC140326.1,chr8,22480290,22483332,+
lNONMMUG004269,NONMMUG004269,AC140333.2,chr10,84619331,84622579,-
lNONMMUG008622,NONMMUG008622,AC140457.1,chr12,21416734,21432847,+
lNONMMUG021336,NONMMUG021336,AC142101.1,chr19,40581067,40600651,+
lNONMMUG041096,NONMMUG041096,AC145556.1,chr8,84665116,84678978,+
lNONMMUG019626,NONMMUG019626,AC145591.1,chr18,34751808,34758685,+
lNONMMUG037682,NONMMUG037682,AC149055.1,chr7,30956908,30961620,+
lNONMMUG037390,NONMMUG037390,AC149282.1,chr7,19770610,19775404,+
lNONMMUG021492,NONMMUG021492,AC150685.1,chr19,45997598,46013387,+
lNONMMUG039529,NONMMUG039529,AC151841.1,chr7,135623709,135652315,-
lNONMMUG037895,NONMMUG037895,AC151989.1,chr7,43695208,43797958,-
lNONMMUG014344,NONMMUG014344,AC152181.1,chr15,37007522,37044101,+
lNONMMUG004304,NONMMUG004304,AC152453.1,chr10,86685464,86694806,+
lNONMMUG004049,NONMMUG004049,AC153830.1,chr10,77486663,77516930,+
lNONMMUG039781,NONMMUG039781,AC155814.1,chr8,4675610,4688495,+
lNONMMUG012425,NONMMUG012425,AC157650.1,chr14,25355800,25378774,-
lNONMMUG033746,NONMMUG033746,AC158114.1,chr5,123047372,123230871,-
lNONMMUG003075,NONMMUG003075,AC158608.1,chr10,13967023,14007406,-
lNONMMUG035881,NONMMUG035881,AC158662.1,chr6,86524493,86583475,+
lNONMMUG043857,NONMMUG043857,AC158898.4,chr9,106148686,106161032,+
lNONMMUG026493,NONMMUG026493,AC158956.1,chr3,45273423,45378260,-
lNONMMUG043226,NONMMUG043226,AC158992.1,chr9,69758739,69830846,+
lNONMMUG043463,NONMMUG043463,AC158998.1,chr9,81629851,81645157,+
lNONMMUG017780,NONMMUG017780,AC159277.1,chr17,25794893,25964784,+
lNONMMUG009574,NONMMUG009574,AC159318.2,chr12,86169340,86195103,+
lNONMMUG012935,NONMMUG012935,AC159323.1,chr14,52196833,52213853,+
lNONMMUG008551,NONMMUG008551,AC159622.1,chr12,15817002,15888156,+
lNONMMUG000674,NONMMUG000674,AC161493.1,chr1,57331647,57382094,-
lNONMMUG035256,NONMMUG035256,AC162464.1,chr6,48130905,48396129,-
lNONMMUG036519,NONMMUG036519,AC163108.1,chr6,122813618,122820615,-
lNONMMUG012643,NONMMUG012643,AC163280.1,chr14,34759364,34778266,+
lNONMMUG043466,NONMMUG043466,AC163294.1,chr9,81776694,81863897,-
lNONMMUG019961,NONMMUG019961,AC163347.1,chr18,54990309,55079414,+
lNONMMUG042268,NONMMUG042268,AC163623.1,chr9,22071001,22086131,+
lNONMMUG017929,NONMMUG017929,AC163629.1,chr17,29446763,29491926,-
lNONMMUG036639,NONMMUG036639,AC163747.1,chr6,127149388,127212499,+
lNONMMUG040108,NONMMUG040108,AC164300.1,chr8,24422403,24440009,+
lNONMMUG017427,NONMMUG017427,AC164431.1,chr17,8379044,8389707,-
lNONMMUG014632,NONMMUG014632,AC164597.1,chr15,60819237,60831794,+
lNONMMUG044290,NONMMUG044290,AC164612.1,chr9,122572497,122679597,+
lNONMMUG018406,NONMMUG018406,AC165259.1,chr17,45734505,45788595,+
lNONMMUG038347,NONMMUG038347,AC169129.1,chr7,73313805,73375774,-
lNONMMUG040931,NONMMUG040931,AC172623.1,chr8,72492933,72505500,+
lNONMMUG017383,NONMMUG017383,AC183097.1,chr17,6314198,6493181,+
lNONMMUG011477,NONMMUG011477,AC207128.1,chr13,80962887,81128865,+
lNONMMUG026383,NONMMUG026383,Acad9,chr3,36088858,36094896,+
lNONMMUG032226,NONMMUG032226,Acox3,chr5,35583709,35613798,+
lNONMMUG025598,NONMMUG025598,Adnp,chr2,168202142,168204848,-
lNONMMUG024052,NONMMUG024052,AI314831,chr2,105076537,105126537,-
lNONMMUG033747,NONMMUG033747,AI480526,chr5,123133725,123142055,-
lNONMMUG038446,NONMMUG038446,AI854517,chr7,79500025,79534403,+
lNONMMUG017485,NONMMUG017485,Airn,chr17,12741310,12860182,+
lNONMMUG038314,NONMMUG038314,AK045070,chr7,70365158,70489972,+
lNONMMUG007198,NONMMUG007198,AL593853.1,chr11,88039577,88047561,-
lNONMMUG006317,NONMMUG006317,AL596215.1,chr11,60878788,60887219,+
lNONMMUG007428,NONMMUG007428,AL607127.1,chr11,96712981,96747437,-
lNONMMUG031300,NONMMUG031300,AL627077.1,chr4,146153455,147024959,-
lNONMMUG006003,NONMMUG006003,AL646002.1,chr11,50236952,50298239,+
lNONMMUG003051,NONMMUG003051,AL691505.1,chr10,12916645,12923127,-
lNONMMUG031315,NONMMUG031315,AL731663.1,chr4,147136277,147457020,+
lNONMMUG031308,NONMMUG031308,AL731663.2,chr4,147018234,147492201,-
lNONMMUG007714,NONMMUG007714,AL731670.1,chr11,102863336,103075904,+
lNONMMUG022369,NONMMUG022369,AL732311.1,chr2,26636787,26640264,-
lNONMMUG022308,NONMMUG022308,AL732590.1,chr2,25575430,25580100,+
lNONMMUG028930,NONMMUG028930,AL833775.1,chr4,40720058,40722867,-
lNONMMUG023435,NONMMUG023435,AL844581.1,chr2,73892277,73900851,+
lNONMMUG023567,NONMMUG023567,AL928696.1,chr2,79453984,79461108,+
lNONMMUG025635,NONMMUG025635,AL929563.1,chr2,169633645,169888504,-
lNONMMUG006064,NONMMUG006064,AL935177.1,chr11,51949881,52269515,-
lNONMMUG019976,NONMMUG019976,Aldh7a1,chr18,56502552,56518587,-
lNONMMUG046005,NONMMUG046005,Alg13,chrX,144350323,144374424,+
lNONMMUG029948,NONMMUG029948,Alg6,chr4,99737762,99739468,+
lNONMMUG002804,NONMMUG002804,Angel2,chr1,190928850,190935025,+
lNONMMUG027295,NONMMUG027295,Anp32e,chr3,95929282,95945635,+
lNONMMUG020954,NONMMUG020954,Anxa1,chr19,20388225,20390673,-
lNONMMUG004375,NONMMUG004375,Apaf1,chr10,90989317,90990666,-
